รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,จัดการเรียนการสอนที่ศูนย์แม่ริม,ระดับรายได้,target,ปัจจัยสถาบันการศึกษา(avg),ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร(avg),ปัจจัยในการตัดสินใจ(avg),ปัจจัยด้านเหตุผลส่วนตัว(avg),ปัจจัยด้านสื่อและการประชาสัมพันธ์(avg)
"20,001-30,000 ",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.6666666666666665,4.0,3.25,4.0,3.8
"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.166666666666667,4.333333333333333,4.25,4.2,4.6
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม 
ข้อเสนอแนะ มีค่าใช้จ่ายการเดินสูงมาก",2,0,3.6666666666666665,4.0,3.5,3.6,3.8
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล จากหอพัก
ข้อเสนอแนะ รถรับส่งฟรี",2,1,2.8333333333333335,2.8333333333333335,2.75,2.4,3.0
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล จากหอพัก
ข้อเสนอแนะ รถรับส่งฟรี",2,1,3.1666666666666665,4.0,2.0,2.2,3.2
"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ทำงานในเมือง เสียเวลาทำงาน โดนหักเงินเดือน เพราะต้องเดินทางไกล,4,1,4.5,4.166666666666667,3.25,4.4,4.2
"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล,2,1,2.8333333333333335,3.3333333333333335,2.25,3.2,3.0
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม 
ข้อเสนอแนะ คณะสถาปัตยกรรมเรียนที่ศูนย์แม่ริม ซึ่งห่างไกลจากตัวเมือง ควรมีบริการหอพักนักศึกษา ทั้ง 4 ปี และเทียบโอน",2,0,1.5,2.3333333333333335,1.25,1.2,1.8
"20,001-30,000 ",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.0,4.0,2.25,2.6,4.2
"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.1666666666666665,4.0,3.0,3.0,3.0
"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.3333333333333335,3.6666666666666665,3.25,3.4,3.4
"20,001-30,000 ",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.0,4.333333333333333,4.25,4.0,4.4
"20,001-30,000 ",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.0,4.0,4.0,4.0,4.0
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.166666666666667,3.6666666666666665,4.25,1.8,3.2
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.666666666666667,4.833333333333333,2.75,2.6,3.6
"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.8333333333333335,4.0,3.75,3.4,4.6
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,4.166666666666667,4.0,1.8,4.0
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.8333333333333335,4.0,3.5,3.2,3.6
"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.5,3.0,1.5,2.8,3.0
"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.5,3.0,1.5,2.8,3.0
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.5,3.3333333333333335,4.75,4.0,2.8
"20,001-30,000 ",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.0,4.0,4.0,2.0,4.0
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,4.0,4.0,4.0,4.0
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.0,3.0,3.0,3.0,3.0
"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.5,3.8333333333333335,2.5,2.2,3.6
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.0,4.0,4.0,4.0,4.0
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.5,3.6666666666666665,4.75,4.6,3.8
"20,001-30,000 ",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.1666666666666665,3.3333333333333335,3.25,3.6,4.2
"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก การเดินทางลำบาก,2,1,2.8333333333333335,3.3333333333333335,3.75,2.4,3.2
"30,001 ขึ้นไป",เทคโนโลยีสถาปัตยกรรม,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,4.0,3.8333333333333335,3.75,4.4,3.6
"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,,1,1,4.333333333333333,4.666666666666667,3.75,4.0,4.4
"10,001-20,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.0,3.6666666666666665,2.25,2.4,2.6
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.1666666666666665,4.0,3.25,4.6,3.8
"ไม่เกิน 10,000",        คหกรรมศาสตร์           (การออกแบบแฟชั่นและสิ่งทอ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริมข้อเสนอแนะ อยากให้ทางมหาวิทยาลัยจัดรถประจำทางให้นักศึกษา,1,0,3.8333333333333335,4.333333333333333,3.75,3.8,4.2
"20,001-30,000 ",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.8333333333333335,4.0,3.25,3.2,3.6
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.166666666666667,4.166666666666667,3.5,3.8,3.4
"ไม่เกิน 10,000",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.0,4.0,3.25,3.6,4.6
"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริมข้อเสนอแนะ ไม่สะดวกเพราะไกล  แต่ก็จำเป็นต้องไป,1,0,4.333333333333333,4.166666666666667,5.0,2.4,3.2
"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.166666666666667,4.333333333333333,5.0,3.0,4.0
"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก การเดินทาง,1,1,3.8333333333333335,4.5,3.5,2.8,4.4
"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,ข้อเสนอแนะ ไม่สะดวก  ห่างไกลเมือง,1,1,3.3333333333333335,3.3333333333333335,2.75,3.4,3.4
"10,001-20,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.8333333333333335,4.333333333333333,3.25,1.8,2.8
"10,001-20,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.166666666666667,4.333333333333333,3.5,3.8,4.0
"20,001-30,000 ",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.0,4.333333333333333,4.0,3.2,3.6
"ไม่เกิน 10,000",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.5,4.0,3.75,2.8,3.8
"ไม่เกิน 10,000",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.8333333333333335,4.333333333333333,3.25,3.0,4.0
"20,001-30,000 ",สถิติประยุกต์ แขนงวิชาวิทยาการข้อมูลเชิงสถิติ,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ,3,1,4.666666666666667,4.666666666666667,4.5,4.8,4.6
"30,001 ขึ้นไป",เทคโนโลยีสารสนเทศ,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ชนบทเกิน,4,1,3.5,3.1666666666666665,3.25,2.0,3.8
"ไม่เกิน 10,000",การออกแบบผลิตภัณฑ์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก มีหลายๆอย่างที่ไม่พร้อม,1,1,3.1666666666666665,3.0,2.25,2.4,3.0
0,การออกแบบผลิตภัณฑ์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก เพิ่มค่าใช้จ่าย,0,1,3.6666666666666665,3.8333333333333335,3.25,3.4,3.8
"ไม่เกิน 10,000",การออกแบบผลิตภัณฑ์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก เพิ่มค่าใช้จ่าย,1,1,4.0,4.0,4.0,2.0,3.2
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.333333333333333,4.0,3.5,3.2,4.2
"10,001-20,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.1666666666666665,3.8333333333333335,3.0,2.4,3.4
"30,001 ขึ้นไป",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,3.3333333333333335,4.166666666666667,4.25,4.4,4.6
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.0,4.0,4.0,2.2,4.0
"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.166666666666667,4.166666666666667,4.0,2.8,3.4
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.6666666666666665,3.8333333333333335,3.75,3.2,4.0
"20,001-30,000 ",วิทยาการคอมพิวเตอร์,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก เดินทางไม่สะดวก
ข้อเสนอแนะ หอในสถานศึกษา",3,1,3.0,4.333333333333333,4.0,2.2,3.2
"ไม่เกิน 10,000",เทคโนโลยีเว็บ,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก อยู่ไกลบ้าน,1,1,3.8333333333333335,4.333333333333333,4.0,4.2,4.6
"ไม่เกิน 10,000",เทคโนโลยีเว็บ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริมข้อเสนอแนะ หาหอพักให้นักศึกษาด้วย,1,0,5.0,5.0,3.75,4.4,4.4
"ไม่เกิน 10,000",เทคโนโลยีเว็บ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,4.0,4.0,4.0,4.0,4.0
"10,001-20,000",เทคโนโลยีเว็บ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.0,3.0,1.75,1.6,2.8
"10,001-20,000",เทคโนโลยีเว็บ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริมข้อเสนอแนะ  หอนอกราคาแพงและอยู่ไกลจากที่เรียน สำหรับนักศึกษาที่ไม่มีรถส่วนตัวเดินทางค่อนข้างลำบาก,2,0,3.8333333333333335,4.0,4.25,3.0,1.8
"20,001-30,000 ",เทคโนโลยีเว็บ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,4.0,4.166666666666667,1.5,4.0,4.2
"10,001-20,000",เทคโนโลยีเว็บ,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลที่ปัจจุบัน ได้เสียค่าที่อยู่ใหม่ ไกลเมือง,2,1,2.8333333333333335,3.1666666666666665,2.25,2.0,2.4
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล,1,1,5.0,5.0,5.0,5.0,5.0
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1,0,3.1666666666666665,3.6666666666666665,3.0,3.2,3.0
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,4.166666666666667,4.833333333333333,3.0,3.0,5.0
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.1666666666666665,3.0,2.25,3.0,3.0
"20,001-30,000 ",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก อยู่ไกลจากที่พัก,3,1,3.1666666666666665,3.8333333333333335,3.25,2.2,3.0
"30,001 ขึ้นไป",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,3.3333333333333335,4.166666666666667,3.75,2.6,3.4
"20,001-30,000 ",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.8333333333333335,4.0,3.75,3.0,4.0
"10,001-20,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.3333333333333335,3.8333333333333335,3.5,3.2,2.8
"10,001-20,000",วิทยาการคอมพิวเตอร์,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลจากที่พักอาศัย,2,1,3.8333333333333335,4.0,3.75,3.6,4.0
"ไม่เกิน 10,000",วิทยาการคอมพิวเตอร์,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริมข้อเสนอแนะ  คิดว่าเมื่อต้อง้ายหลักสูตรไปมหาวิทยาลัยควรเตรียมความพร้อมให้พร้อมในการใช้งานจริงให้ได้,1,0,3.5,3.8333333333333335,3.75,3.4,3.4
"10,001-20,000",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,2,0,3.5,3.5,3.5,3.2,3.4
"30,001 ขึ้นไป",เทคโนโลยีสารสนเทศ,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,4,0,3.3333333333333335,3.5,2.75,4.0,3.8
"20,001-30,000 ",         คหกรรมศาสตร์                 (อาหารและโภชนาการ),ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,3,0,3.1666666666666665,3.0,2.5,3.0,3.0
